Region	Country	GDP	Date	VariableOne	VariableTwo
Europe	Luxembourg	113954.4	1/1/2024	t	1
Europe	Switzerland	83583	1/2/2024	f	0
Europe	Norway	82372.4	1/3/2024	t	1
Asia	Macao SAR	81585.4	1/4/2024	f	0
Europe	Iceland	75699.6	1/5/2024	t	1
Europe	Ireland	75192.3	1/6/2024	f	0
Asia	Qatar	67818.3	1/7/2024	t	1
North America	United States	62517.5	1/8/2024	f	0
Asia	Singapore	61230.2	1/9/2024	t	1
Europe	Denmark	61227	1/10/2024	f	0
Oceania	Australia	56698.1	1/11/2024	t	1
Europe	Sweden	53867.2	1/12/2024	f	0
Europe	Netherlands	52931.2	1/13/2024	TRUE	1
Europe	Netherlands	52931.2	1/13/2024	t	1
Europe	Austria	51707.6	1/14/2024	f	0
Europe	San Marino	ERROR	1/15/2024	t	1
Europe	Finland	50068.1	1/16/2024	f	0
Europe	Germany	48669.6	1/17/2024	t	0
Asia	Hong Kong SAR	48231.3	1/18/2024	f	0
Europe	Belgium	46978.7	1/19/2024	t	0
North America	Canada	46733	1/20/2024	f	0
Europe	France	42930.8	1/21/2024	t	0
Europe	United Kingdom	42260.9	1/22/2024	f	0
Oceania	New Zealand	41615.9	1/23/2024	t	0
Asia	United Arab Emirates	41476.3	1/24/2024	f	0
Asia	Israel	41179.8	1/25/2024	t	0
Asia	Japan	40105.8	1/26/2024	f	0
Europe	Italy	34349.2	1/27/2024	t	0
North America	The Bahamas	34333	1/28/2024	f	0
Asia	Brunei Darussalam	33824.1	1/29/2024	t	0
Asia	Korea	32046	1/30/2024	f	0
North America	Puerto Rico	32004.1	1/31/2024	t	0
Asia	Kuwait	31915.5	2/1/2024	f	0
Europe	Spain	31059.5	2/2/2024	t	0
Europe	Malta	30555.3	2/3/2024	f	0
Europe	Cyprus	27864.5	2/4/2024	t	0
Europe	Slovenia	26586.1	2/5/2024	f	0
Asia	Bahrain	26531.8	2/6/2024	t	0
Asia	Taiwan Province of China	25534.3	2/7/2024	f	0
North America	Aruba	24881.5	2/8/2024	t	0
Asia	Saudi Arabia	23186.7	2/9/2024	f	0
Europe	Portugal	23175.8	2/10/2024	t	0
Europe	Czech Republic	23085.2	2/11/2024	f	0
Europe	Estonia	22416.7	2/12/2024	t	0
Europe	Greece	20311	2/13/2024	f	0
Europe	Slovak Republic	19642.1	2/14/2024	t	0
Asia	Oman	19170.4	2/15/2024	f	0
Europe	Lithuania	18856.9	2/16/2024	t	0
North America	Barbados	18366	2/17/2024	f	0
North America	St. Kitts and Nevis	17961.4	2/18/2024	t	0
Europe	Latvia	17634.4	2/19/2024	f	0
North America	Antigua and Barbuda	17476.7	2/20/2024	t	0
South America	Uruguay	17379.7	2/21/2024	f	0
North America	Trinidad and Tobago	16930.9	2/22/2024	t	0
Africa	Seychelles	16376.8	2/23/2024	f	0
Oceania	Palau	16267.5	2/24/2024	t	0
South America	Chile	16143.4	2/25/2024	f	0
Europe	Hungary	16016	2/26/2024	t	0
North America	Panama	15877.5	2/27/2024	f	0
Africa	Equatorial Guinea	15294.3	2/28/2024	t	0
Europe	Croatia	14637.5	2/29/2024	f	0
Europe	Poland	14468.8	3/1/2024	t	0
Asia	Maldives	13151.9	3/2/2024	f	0
Asia	Lebanon	12453.7	3/3/2024	t	0
Europe	Romania	12189.5	3/4/2024	f	0
North America	Costa Rica	12095	3/5/2024	t	0
North America	Grenada	11031.9	3/6/2024	f	0
Africa	Mauritius	11014.9	3/7/2024	t	0
Europe	Russia	10950.5	3/8/2024	f	0
Asia	Malaysia	10703.6	3/9/2024	t	0
South America	Argentina	10667.1	3/10/2024	f	0
North America	St. Lucia	10042.1	3/11/2024	t	0
Asia	Kazakhstan	9977.4	3/12/2024	f	0
Asia	China	9633.1	3/13/2024	t	0
North America	Mexico	9614.3	3/14/2024	f	0
South America	Brazil	9126.9	3/15/2024	t	0
Europe	Bulgaria	9080.3	3/16/2024	f	0
Oceania	Nauru	9037.1	3/17/2024	t	0
Europe	Turkey	8715.5	3/18/2024	f	0
Europe	Montenegro	8644.3	3/19/2024	t	0
Africa	Gabon	8384.7	3/20/2024	f	0
Africa	Botswana	8168	3/21/2024	t	0
North America	Dominican Republic	7891.3	3/22/2024	f	0
North America	St. Vincent and the Grenadines	7505.6	3/23/2024	t	0
Asia	Turkmenistan	7411.9	3/24/2024	f	0
South America	Peru	7118.4	3/25/2024	t	0
Asia	Thailand	7084.5	3/26/2024	f	0
North America	Dominica	6860.1	3/27/2024	t	0
