Date,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
5/11/2023,7,99,Yes,9,1,91
11/5/2023,4,82,No,4,2,65
7/12/2023,8,51,Yes,7,2,45
7/8/2023,5,52,Yes,5,2,36
12/26/2023,7,75,No,8,5,66
5/25/2023,3,78,No,9,6,61
4/30/2023,7,73,Yes,5,6,63
1/16/2023,8,45,Yes,4,6,42
7/2/2023,5,77,No,8,2,61
1/16/2023,4,89,No,4,0,69
11/23/2023,8,91,No,4,5,84
3/29/2023,8,79,No,6,2,73
10/27/2023,3,47,No,9,2,27
4/16/2023,6,47,No,4,2,33
9/9/2023,5,79,No,7,8,68
6/22/2023,2,72,No,4,3,43
7/12/2023,8,73,Yes,8,4,67
8/26/2023,6,83,Yes,7,2,70
11/5/2023,2,54,Yes,4,9,30
11/29/2023,5,75,No,7,0,63
5/5/2023,1,99,Yes,4,3,71
4/14/2023,6,96,No,9,0,85
4/3/2023,9,74,Yes,7,6,73
3/16/2023,1,85,No,5,6,57
10/25/2023,3,61,No,6,3,35
7/8/2023,7,62,Yes,7,4,49
7/23/2023,4,79,No,8,9,66
3/24/2023,9,84,Yes,6,6,83
3/1/2023,3,94,Yes,6,5,74
11/3/2023,5,90,Yes,4,3,74
9/14/2023,3,61,Yes,7,3,39
6/29/2023,7,44,Yes,9,1,36
10/22/2023,5,70,Yes,6,9,58
12/17/2023,9,52,Yes,8,1,47
8/15/2023,7,67,Yes,9,3,60
5/14/2023,2,97,Yes,9,4,74
8/14/2023,4,59,No,8,3,42
3/27/2023,9,72,No,8,2,68
6/17/2023,2,55,Yes,4,1,32
2/3/2023,9,68,No,5,3,64
11/18/2023,5,62,No,7,4,45
10/9/2023,2,63,Yes,6,0,39
7/15/2023,4,73,Yes,7,0,58
4/15/2023,7,46,No,9,5,36
10/1/2023,8,77,Yes,6,4,71
10/28/2023,3,76,Yes,4,3,54
3/6/2023,1,43,Yes,7,0,17
4/13/2023,4,73,No,4,6,54
1/21/2023,2,81,Yes,4,3,58
